3,9,99
CÔNG TY CỔ PHẦN MINH HỮU LIÊN,"R1-49 KP Hưng Phước 4 - PMH - Đường Bùi Bằng Đoàn, Phường Tân Phong, Quận 7, TP. HCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Tân Phong', 'route': 'Bùi Bằng Đoàn', 'administrative_area_level_2': 'Quận 7', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.7319992, 'lng': 106.7085045}}"
CÔNG TY TNHH KỸ THUẬT DỊCH VỤ SONG LONG,"20, Đường DC 11, P.Sơn Kỳ, Q.Tân Phú, TP Hồ Chí Minh","{'locality': '', 'sublocality_level_1': 'Sơn Kỳ', 'route': 'Đường DC11', 'administrative_area_level_2': 'Tân Phú', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.8077333, 'lng': 106.6081129}}"
CÔNG TY CỔ PHẦN XUẤT NHẬP KHẨU HẠT ĐIỀU VÀ HÀNG NÔNG SẢN THỰC PHẨM HỒ CHÍ MINH (VINALIMEX),"458B Nguyễn Tất Thành, Phường 18, Quận 4, Tp. Hổ Chí Minh","{'locality': '', 'sublocality_level_1': 'phường 18', 'route': 'Nguyễn Tất Thành', 'administrative_area_level_2': 'Quận 4', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.75683, 'lng': 106.7184428}}"
CÔNG TY CỔ PHẦN DỊCH VỤ PHÚ NHUẬN (MASECO),"78A Nguyễn Văn Trỗi, quận Phú Nhuận, Tp Hồ Chí MInh, Việt Nam","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'phường 8', 'route': 'Nguyễn Văn Trỗi', 'administrative_area_level_2': 'Phú Nhuận', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.79615, 'lng': 106.674926}}"
CÔNG TY TNHH MỘT THÀNH VIÊN THỰC PHẨM VÀ ĐẦU TƯ FOCOCEV,"21 Bùi Thị Xuân, P.Bến Thành, Quận 1,TP.HCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Bến Thành', 'route': 'Bùi Thị Xuân', 'administrative_area_level_2': 'Quận 1', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.7714875, 'lng': 106.6902743}}"
CÔNG TY CỔ PHẦN NHỰA  Á CHÂU (POLYMER ASIA),"49 Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, TP.HCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Phạm Ngũ Lão', 'route': 'Bùi Viện', 'administrative_area_level_2': 'Quận 1', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.766994, 'lng': 106.693433}}"
CÔNG TY TNHH THƯƠNG MẠI SẢN XUẤT PHÁT THÀNH (FATACO),"41 Đội Cung, Phường 11, Quận 11, TP. Hồ Chí Minh, Việt Nam","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'phường 11', 'route': 'Đội Cung', 'administrative_area_level_2': 'Quận 11', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.7670549, 'lng': 106.650754}}"
CÔNG TY NỆM LIÊN Á,"23 Kinh Dương Vương, Phường 12, Quận 6, Tp.Hồ Chí Minh.","{'locality': '6', 'sublocality_level_1': '12', 'route': 'Kinh Dương Vương', 'administrative_area_level_2': 'Quận 6', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.753183, 'lng': 106.6334671}}"
CÔNG TY CỔ PHẦN SẢN XUẤT THƯƠNG MẠI TÀI TÀI (TATACO),"196/1/25 Cộng Hòa , Phường 12, Quận Tân Bình, Tp. HCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Phường 4', 'route': 'Cộng Hòa', 'administrative_area_level_2': 'Tân Bình', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.800399, 'lng': 106.660595}}"
CÔNG TY TNHH NHỰA-CƠ KHÍ VÀ THƯƠNG MẠI CHẤN THUẬN THÀNH,"63/2 Lý Chiêu Hoàng, Phường 10, Quận 6, TP.HCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'phường 10', 'route': 'Lý Chiêu Hoàng', 'administrative_area_level_2': 'Quận 6', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.740624, 'lng': 106.6317119}}"
