3,9,99
CÔNG TY TNHH SẢN XUẤT MAY MẶC HOÀNG PHÁT,"222/3 TA13,KP 2,THỚI AN,Q.12, TPHCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': '', 'route': '', 'administrative_area_level_2': '', 'administrative_area_level_1': 'Ho Chi Minh', 'country': 'Vietnam', 'location': {'lat': 10.8230989, 'lng': 106.6296638}}"
CÔNG TY TNHH UNIQUE VINA,"44/4 TA32, KP3, THỚI AN,Q.12, TPHCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': '', 'route': '', 'administrative_area_level_2': '', 'administrative_area_level_1': 'Ho Chi Minh', 'country': 'Vietnam', 'location': {'lat': 10.8230989, 'lng': 106.6296638}}"
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TIN HỌC VŨ LỘC,"79 ĐƯỜNG SỐ 4,CX ĐÔ THÀNH, F.4, Q.3, TPHCM","{'locality': '', 'sublocality_level_1': '', 'route': '', 'administrative_area_level_2': 'District 3', 'administrative_area_level_1': 'Ho Chi Minh', 'country': 'Vietnam', 'location': {'lat': 10.7843695, 'lng': 106.6844089}}"
CÔNG TY TNHH CUNG CẤP THỰC PHẨM GIA ĐÌNH,"LL1D CX BẮC HẢI, F.15, Q.10, TPHCM","{'locality': '', 'sublocality_level_1': '', 'route': '', 'administrative_area_level_2': 'District 10', 'administrative_area_level_1': 'Ho Chi Minh', 'country': 'Vietnam', 'location': {'lat': 10.7745965, 'lng': 106.6679542}}"
CÔNG TY TNHH THIẾT BỊ AN NINH ĐỒNG PHÁT,"6A ĐƯỜNG 42, KP 6, LINH ĐÔNG, THỦ ĐỨC, TPHCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Linh Đông', 'route': 'Đường 42', 'administrative_area_level_2': 'Thủ Đức', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.8484461, 'lng': 106.750945}}"
CÔNG TY TNHH THƯƠNG MẠI AN KHANG SÀI GÒN,"47 ĐƯỜNG SỐ 3, CX ĐÔ THÀNH, F.4, Q.3, TPHCM","{'locality': '', 'sublocality_level_1': '', 'route': '', 'administrative_area_level_2': 'District 3', 'administrative_area_level_1': 'Ho Chi Minh', 'country': 'Vietnam', 'location': {'lat': 10.7843695, 'lng': 106.6844089}}"
CÔNG TY TNHH MTV TIN HỌC CHÂU QUANG MINH,"281/16 LÊ VĂN SỸ, F.1, TÂN BÌNH, TPHCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Phường 1', 'route': 'Lê Văn Sỹ', 'administrative_area_level_2': 'Tân Bình', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.7946679, 'lng': 106.6675081}}"
CÔNG TY TNHH MTV NĂNG ĐỘNG,"51/66/8 CAO THẮNG, F.3, Q.3, TPHCM","{'locality': '', 'sublocality_level_1': '', 'route': '', 'administrative_area_level_2': 'District 3', 'administrative_area_level_1': 'Ho Chi Minh', 'country': 'Vietnam', 'location': {'lat': 10.7843695, 'lng': 106.6844089}}"
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ TIN HỌC ÁNH BÌNH MINH,"281/8 LÊ VĂN SỸ, F.1,TÂN BÌNH, TPHCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Phường 1', 'route': 'Lê Văn Sỹ', 'administrative_area_level_2': 'Tân Bình', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.7946679, 'lng': 106.6675081}}"
CÔNG TY TNHH TIN HỌC HẢI PHÁT,"51/8 CAO THẮNG F.3,Q.3, TPHCM","{'locality': '', 'sublocality_level_1': '', 'route': '', 'administrative_area_level_2': 'District 3', 'administrative_area_level_1': 'Ho Chi Minh', 'country': 'Vietnam', 'location': {'lat': 10.7843695, 'lng': 106.6844089}}"
CÔNG TY CỔ PHẦN TƯ VẤN ĐẦU TƯ SAO VÀNG,"L9-06 Tầng 9, Tòa nhà Vincom Center, 72 Lê Thánh Tôn, P.Bến Nghé, Q.I","{'locality': '', 'sublocality_level_1': '', 'route': '', 'administrative_area_level_2': '', 'administrative_area_level_1': 'HÃ  Ná»i', 'country': 'Vietnam', 'location': {'lat': 21.012968, 'lng': 105.813199}}"
CÔNG TY CỔ PHẦN ĐẦU TƯ XÂY DỰNG THẾ GIỚI BẤT ĐỘNG SẢN,"111 NGUYỄN HỮU CẢNH F.22, BÌNH THẠNH, TPHCM","{'locality': '', 'sublocality_level_1': '', 'route': '', 'administrative_area_level_2': 'Bình Thạnh', 'administrative_area_level_1': 'Ho Chi Minh', 'country': 'Vietnam', 'location': {'lat': 10.8105831, 'lng': 106.7091422}}"
CÔNG TY CỔ PHẦN ÔNG GIÀ IKA,773 Nguyễn Khóai - Thanh Trì- Hoàng Mai - Hà Nội,"{'locality': '', 'sublocality_level_1': 'Thanh Trì', 'route': 'Nguyễn Khoái', 'administrative_area_level_2': 'Hai Bà Trưng', 'administrative_area_level_1': 'Hà Nội', 'country': 'Vietnam', 'location': {'lat': 21.0009469, 'lng': 105.8835544}}"
CÔNG TY CỔ PHẦN CÔNG NGHỆ Ntech- I,"P 301, tầng 3 tòa nhà HKC số 285 Đội Cấn, Ba Đình, Hà Nội","{'locality': '', 'sublocality_level_1': 'Liễu Giai', 'route': 'Đội Cấn', 'administrative_area_level_2': 'Ba Đình', 'administrative_area_level_1': 'Hà Nội', 'country': 'Vietnam', 'location': {'lat': 21.0354651, 'lng': 105.8183323}}"
CÔNG TY TNHH SÁNG TẠO KHÔNG GIAN MỚI,Số 1 Ngách 1 Ngõ 360 Đê La Thành - Đống Đa - Hà Nội,"{'locality': '', 'sublocality_level_1': 'Ô Chợ Dừa', 'route': 'La Thành', 'administrative_area_level_2': 'Đống Đa', 'administrative_area_level_1': 'Hà Nội', 'country': 'Vietnam', 'location': {'lat': 21.0170037, 'lng': 105.8318717}}"
CÔNG TY TNHH QUẢNG CÁO ONG VÀNG,Tầng 06 số nhà 258 Xã Đàn - Đống Đa - Hà Nội,"{'locality': 'Hanoi', 'sublocality_level_1': 'Nam Đồng', 'route': 'Xã Đàn', 'administrative_area_level_2': 'Đống Đa', 'administrative_area_level_1': 'Hà Nội', 'country': 'Vietnam', 'location': {'lat': 21.017432, 'lng': 105.830657}}"
CÔNG TY CỔ PHẨN XUẤT NHẬP KHẨU NÔNG LÂM SẢN THỰC THÂM ĐÔNG NAM Á,Số 9 Tân Khai 1 - P. Vĩnh Hưng - Q. Hoàng Mai - Hà Nội.,"{'locality': '', 'sublocality_level_1': 'Vĩnh Hưng', 'route': '', 'administrative_area_level_2': 'Hoàng Mai', 'administrative_area_level_1': 'Hà Nội', 'country': 'Vietnam', 'location': {'lat': 20.9888967, 'lng': 105.8747653}}"
CÔNG TY TNHH THIẾT BỊ Y TẾ OLYMPUS VIỆT NAM,"P305 - 307, V - Tower, 649 Kim Mã - Ba Đình - Hà Nội","{'locality': 'Hanoi', 'sublocality_level_1': 'Ngọc Khánh', 'route': 'Kim Mã', 'administrative_area_level_2': 'Ba Đình', 'administrative_area_level_1': 'Hà Nội', 'country': 'Vietnam', 'location': {'lat': 21.0286521, 'lng': 105.8062551}}"
CÔNG TY CỔ PHẦN ESYS,Số 14 lô 1A Trung Yên - Cầu Giấy - Hà Nội,"{'locality': 'Hanoi', 'sublocality_level_1': '', 'route': '', 'administrative_area_level_2': 'Hoàn Kiếm', 'administrative_area_level_1': 'Hanoi', 'country': 'Vietnam', 'location': {'lat': 21.0277644, 'lng': 105.8341598}}"
CÔNG TY TNHH CÔNG NGHỆ ĐÔNG PHƯƠNG,Số 28 tập thể BTL Thông Tin Quan Nhân - Trung Hòa - Cầu Giấy - Hà Nội,"{'locality': 'Hanoi', 'sublocality_level_1': '', 'route': '', 'administrative_area_level_2': 'Hoàn Kiếm', 'administrative_area_level_1': 'Hanoi', 'country': 'Vietnam', 'location': {'lat': 21.0277644, 'lng': 105.8341598}}"
CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN ANTEC VIỆT NAM,217 Đặng Tiến Đông – Đống Đa – Hà Nội,"{'locality': 'Hanoi', 'sublocality_level_1': 'Trung Liệt', 'route': 'Đặng Tiến Đông', 'administrative_area_level_2': 'Đống Đa', 'administrative_area_level_1': 'Hà Nội', 'country': 'Vietnam', 'location': {'lat': 21.0153988, 'lng': 105.820712}}"
CÔNG TY TNHH MTV TM & DV TÍN THIỆN,"385A Lê Văn Hiến, Đà Nẵng","{'locality': '', 'sublocality_level_1': 'Hòa Hải', 'route': 'Lê Văn Hiến', 'administrative_area_level_2': 'Ngũ Hành Sơn', 'administrative_area_level_1': 'Đà Nẵng', 'country': 'Vietnam', 'location': {'lat': 15.9981729, 'lng': 108.259359}}"
CÔNG TY TNHH TÀI LỘC THỊNH,"Lô 27 - B3 Trần Nhân Tông, Đà Nẵng","{'locality': 'Da Nang', 'sublocality_level_1': 'Thanh Khê', 'route': 'Trần Thái Tông', 'administrative_area_level_2': '', 'administrative_area_level_1': 'Đà Nẵng', 'country': 'Vietnam', 'location': {'lat': 16.034554, 'lng': 108.1883753}}"
CÔNG TY TNHH MTV & DV ĐẠI TÂN PHÚ,"K 94/43 Lê Hữu Trác, Đà Nẵng","{'locality': '', 'sublocality_level_1': 'An Hải Đông', 'route': 'Lê Hữu Trác', 'administrative_area_level_2': 'Sơn Trà', 'administrative_area_level_1': 'Đà Nẵng', 'country': 'Vietnam', 'location': {'lat': 16.0579752, 'lng': 108.2386961}}"
CÔNG TY TNHH HOÀN HẢO,"56 Trần Tống, Đà Nẵng","{'locality': 'Da Nang', 'sublocality_level_1': 'Thanh Khê', 'route': 'Trần Tống', 'administrative_area_level_2': '', 'administrative_area_level_1': 'Đà Nẵng', 'country': 'Vietnam', 'location': {'lat': 16.0584863, 'lng': 108.2097981}}"
CÔNG TY TNHH TRUYỀN THÔNG & DU LỊCH HUYỀN THOẠI VIỆT,"139 Nguyễn Du,Tp Đà Nẵng","{'locality': '', 'sublocality_level_1': 'Hải Châ', 'route': 'Nguyễn D', 'administrative_area_level_2': '', 'administrative_area_level_1': 'Đà Nẵng', 'country': 'Vietnam', 'location': {'lat': 16.0782977, 'lng': 108.217752}}"
CÔNG TY TNHH MTV TRÍ QUỲNH,"99 Nguyễn Hoàng, Đà Nẵng","{'locality': '', 'sublocality_level_1': 'Hải Châ', 'route': 'Nguyễn Hoàng', 'administrative_area_level_2': '', 'administrative_area_level_1': 'Đà Nẵng', 'country': 'Vietnam', 'location': {'lat': 16.0645956, 'lng': 108.2143796}}"
CÔNG TY TNHH MTV DU LỊCH ÁI VY,"278/4 Nguyễn Tri Phương, Thanh Khê, Hà Nội","{'locality': '', 'sublocality_level_1': 'Thạc Gián', 'route': 'Nguyễn Tri Phương', 'administrative_area_level_2': '', 'administrative_area_level_1': 'Đà Nẵng', 'country': 'Vietnam', 'location': {'lat': 16.0568263, 'lng': 108.2070485}}"
CÔNG TY CỔ PHẦN QUỐC TẾ EIV,"134/1 Cách Mạng Tháng 8, Phường 10, Quận 3, TP HCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'phường 10', 'route': 'Cách Mạng Tháng 8', 'administrative_area_level_2': 'Quận 3', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.7782998, 'lng': 106.6809877}}"
CÔNG TY TNHH MỘT THÀNH VIÊN TECHNOLOGIC ARTS,"4 Nguyễn Thị Minh Khai, Phường Đa Kao, Quận1, TP HCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Đa Kao', 'route': 'Nguyễn Thị Minh Khai', 'administrative_area_level_2': 'Quận 1', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.7895, 'lng': 106.703644}}"
CÔNG TY TNHH GIẢI TRÍ TRUYỀN THÔNG NEWFACE,"32/12C Lê Văn Thọ, Phường 11, Quận Gò Vấp","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'phường 11', 'route': 'Lê Văn Thọ', 'administrative_area_level_2': 'Gò Vấp', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.847171, 'lng': 106.657569}}"
CÔNG TY CỔ PHẦN 247,"18 A Cộng Hòa, Quận Tân Bình, TP HCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Phường 4', 'route': 'Cộng Hòa', 'administrative_area_level_2': 'Tân Bình', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.801058, 'lng': 106.660814}}"
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ QUẢNG CÁO KHÁNH NGÂN,"318A NGUYỄN CHÍ THANH, PHƯỜNG 5, QUẬN 10","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'phường 5', 'route': 'Nguyễn Chí Thanh', 'administrative_area_level_2': 'Quận 10', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.7597236, 'lng': 106.6670925}}"
CÔNG TY TNHH MÔI GIỚI BẢO HIỂM GRAS SAVOYE WILLIS VIET NAM,"37 Tôn Đức Thắng, Bến Nghé  Tp Hồ Chí Minh","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Bến Nghé', 'route': 'Tôn Đức Thắng', 'administrative_area_level_2': 'Quận 1', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.7842478, 'lng': 106.7035634}}"
CÔNG TY CỔ PHẦN GIẶT ỦI VIỆT,"C34 Khu công nghiệp Hiệp Phước, Nhà Bè","{'locality': '', 'sublocality_level_1': '', 'route': '', 'administrative_area_level_2': 'Nhà Bè', 'administrative_area_level_1': 'Ho Chi Minh', 'country': 'Vietnam', 'location': {'lat': 10.6952642, 'lng': 106.704874}}"
CÔNG TY TNHH MTV THƯƠNG MẠI DỊCH VỤ XUẤT NHẬP KHẨU THUẬN PHƯỚC,"155 Bùi Viện, Quận 1","{'locality': '', 'sublocality_level_1': 'Phạm Ngũ Lão', 'route': 'Bùi Viện', 'administrative_area_level_2': 'Quận 1', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.7662975, 'lng': 106.6915561}}"
CÔNG TY QUẢN LÝ QUỸ HỢP LỰC VIỆT NAM,"24 Lê Lợi, Phường Bến Nghé, Quận 1","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Bến Nghé', 'route': 'Lê Lợi', 'administrative_area_level_2': 'Quận 1', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.774935, 'lng': 106.701083}}"
CÔNG TY CỔ PHẦN TIN HỌC QUỐC THẮNG,"164B Bùi Thị Xuân, Phạm Ngũ Lão, Quận 1, TP HCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Phạm Ngũ Lão', 'route': 'Bùi Thị Xuân', 'administrative_area_level_2': 'Quận 1', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.76819, 'lng': 106.686589}}"
CÔNG TY TNHH KỸ THUẬT SẢN XUẤT THƯƠNG MẠI THÁI AN,"463/4G Cách Mạng Tháng Tám, Phường 13, Quận 10, Thành Phố Hồ Chí Minh","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Phường 15', 'route': 'Cách Mạng Tháng 8', 'administrative_area_level_2': 'Quận 10', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.783739, 'lng': 106.669329}}"
VĂN PHÒNG ĐẠI DIỆN INTERNATION FLAVORS & FRAGRANCES THAILAND,"Lầu 11, Phòng 1101 và 1102, số 172 Hai Bà Trưng, Quận 1","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Đa Kao', 'route': 'Hai Bà Trưng', 'administrative_area_level_2': 'Quận 1', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.785612, 'lng': 106.695174}}"
CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU HÒN VIỆT,"281/17 Lê Văn Sỹ, Phường 1, Quận Tân Bình","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Phường 1', 'route': 'Lê Văn Sỹ', 'administrative_area_level_2': 'Tân Bình', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.795332, 'lng': 106.664924}}"
CÔNG TY TNHH MỘT THÀNH VIÊN THƯƠNG MẠI DU LỊCH THIÊN NHIÊN VIỆT NAM,"7 Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, TP HCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': '', 'route': 'Bùi Viện', 'administrative_area_level_2': 'Quận 1', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.7678774, 'lng': 106.695064}}"
CÔNG TY TNHH MTV CHÍ ANH THÀNH TÂM,"136 Công Lỡ, Phường 15, Quận Tân Bình","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Phường 15', 'route': 'Cống Lở', 'administrative_area_level_2': 'Tân Bình', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.8265939, 'lng': 106.6360477}}"
CÔNG TY TNHH KHẢI HOÀN,"292/37/3 Bình Lợi, Phường 13, Quận Bình Thạnh","{'locality': '', 'sublocality_level_1': 'phường 13', 'route': 'Bình Lợi', 'administrative_area_level_2': 'Bình Thạnh', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.8302975, 'lng': 106.7056534}}"
CÔNG TY CỔ PHẦN LÂM KHOÁNG SẢN LONG PHÚ,"LL1D Tam Đảo, Phường 15, Quận 10, TP HCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Phường 15', 'route': 'Tam Đảo', 'administrative_area_level_2': 'Quận 10', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.780782, 'lng': 106.664754}}"
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VÀ CÔNG NGHỆ NGUYỄN PHƯƠNG,"LL1D CX Bắc Hải, Phường 15, Quận 10, TP.HCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Phường 15', 'route': 'Hải', 'administrative_area_level_2': 'Quận 10', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.784635, 'lng': 106.662702}}"
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ HIỆP BÌNH,"468/39 Nguyễn Tri Phương, Phường 9, Quận 10","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'phường 9', 'route': 'Nguyễn Tri Phương', 'administrative_area_level_2': 'Quận 5', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.7580155, 'lng': 106.6693329}}"
CÔNG TY TNHH MTV THƯƠNG MẠI SẢN XUẤT NHẬP KHẨU MẮT KÍNH VIỆT QUANG,"181 Nguyễn Đình Chiểu, Phường 6, Quận 3","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'phường 6', 'route': 'Nguyễn Đình Chiể', 'administrative_area_level_2': 'Quận 3', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.775059, 'lng': 106.687223}}"
CÔNG TY TNHH PHÁT TRIỂN ĐẦU TƯ CÔNG NGHỆ HOA NAM,"36/70/9 Đường D25, Phường 25, Quận Bình Thạnh","{'locality': '', 'sublocality_level_1': 'Bình An', 'route': 'Đường 9', 'administrative_area_level_2': 'Quận 2', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.7931088, 'lng': 106.7350831}}"
CÔNG TY CỔ PHẦN VNBRANDMAKER,"106, Đường 15, An Phúc, Quận2, TP.HCM","{'locality': '', 'sublocality_level_1': 'Bình Trưng Tây', 'route': 'Đường Số 15', 'administrative_area_level_2': 'Quận 2', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.7900013, 'lng': 106.7576244}}"
CÔNG TY CỔ PHẦN BẠCH TUỘC SỐ,"27 Đường A9, Khu Trung Sơn, Nam Sài Gòn, Bình Chánh","{'locality': '', 'sublocality_level_1': 'tt. Tân Túc', 'route': 'Số 5', 'administrative_area_level_2': 'Bình Chánh', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.6976367, 'lng': 106.5927311}}"
CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ TRUNG THỰC,"111 Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh","{'locality': '', 'sublocality_level_1': 'Phường 22', 'route': 'Nguyễn Hữu Cảnh', 'administrative_area_level_2': 'Bình Thạnh', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.7961748, 'lng': 106.7188428}}"
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ĐỨC ANH QUÂN,"231/12 Lê Văn Sỹ, Phường 14, Quận Phú Nhuận, TP HCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'phường 14', 'route': 'Lê Văn Sỹ', 'administrative_area_level_2': 'Phú Nhuận', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.792995, 'lng': 106.669092}}"
CÔNG TY TNHH TƯ VẤN TIẾP THỊ TRUYỀN THÔNG Ý TƯỞNG VIỆT,"384/9 Lý Thái Tổ, Phường 10, Quận 10","{'locality': '', 'sublocality_level_1': '', 'route': 'Lý Thái Tổ', 'administrative_area_level_2': '', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.7678235, 'lng': 106.6719854}}"
CÔNG TY CỔ PHẦN KHU CÔNG NGHIỆP CAO SU BÌNH LONG,Xã Minh Hưng - Huyện Chơn Thành - Bình Phước,"{'locality': '', 'sublocality_level_1': 'Minh Hưng', 'route': '', 'administrative_area_level_2': 'Chơn Thành', 'administrative_area_level_1': '', 'country': 'Vietnam', 'location': {'lat': 11.4827257, 'lng': 106.6173415}}"
TỔNG CÔNG TY CỔ PHẦN PHONG PHÚ," 48 đường Tăng Nhơn Phú, khu phố 3, P.Tăng Nhơn Phú B, Q. 9, TP.Hồ Chí Minh, Việt Nam ","{'locality': '', 'sublocality_level_1': 'Tăng Nhơn Phú B', 'route': 'Tăng Nhơn Phú', 'administrative_area_level_2': 'Quận 9', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.8339245, 'lng': 106.7807667}}"
CÔNG TY CỔ PHẦN CHỨNG KHOÁN KIS VIỆT NAM,"180-192 Nguyễn Công Trứ, P. Nguyễn Thái Bình, Quận 1, Tp. Hồ Chí Minh","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Nguyễn Thái Bình', 'route': 'Nguyễn Công Trứ', 'administrative_area_level_2': 'Quận 1', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.7688674, 'lng': 106.7009374}}"
TỔNG CÔNG TY VIỆT THẮNG,"127 Lê Văn Chí, P.Linh Trung Q.Thủ Đức, TP HCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Linh Trung', 'route': 'Lê Văn Chí', 'administrative_area_level_2': 'Thủ Đức', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.8626065, 'lng': 106.77509}}"
CÔNG TY TNHH KỸ THUẬT NAM THUẬN PHÁT,"279/26A2 Âu Cơ, Phường 5, Quận 11, TP.HCM, Việt Nam","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': '', 'route': 'Âu Cơ', 'administrative_area_level_2': '', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.7726136, 'lng': 106.6494852}}"
CÔNG TY CỔ PHẦN THƯƠNG MẠI XUẤT NHẬP KHẨU PHÚC THỊNH,"3B05 – 3B06 Tầng 4, Khu B, Số 4 Nguyễn Đình Chiểu, P.Đa Kao, Quận1, TP.HCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': '', 'route': '', 'administrative_area_level_2': '', 'administrative_area_level_1': 'Ho Chi Minh', 'country': 'Vietnam', 'location': {'lat': 10.8230989, 'lng': 106.6296638}}"
CÔNG TY TNHH XNK NÔNG SẢN HỒNG ÂN ," 48 Trường Sơn , Phường 2, Quận Tân Bình, TP. HCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Phường 2', 'route': 'Trường Sơn', 'administrative_area_level_2': 'Tân Bình', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.810019, 'lng': 106.665159}}"
CÔNG TY TNHH XNK RAU QUẢ PHI LONG ,"559 Lũy Bán Bích, P. Phú Thạnh, Q. Tân Phú, TP.HCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Hoà Thạnh', 'route': 'Lũy Bán Bích', 'administrative_area_level_2': 'Tân Phú', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.777998, 'lng': 106.634631}}"
CÔNG TY TNHH THƯƠNG MẠI XUẤT NHẬP KHẨU THUẬN NGHĨA,"18N' Nguyễn Thị Tần, Phường 2, Quận 8, Thành Phố Hồ Chí Minh","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Hoà Thạnh', 'route': 'Lũy Bán Bích', 'administrative_area_level_2': 'Tân Phú', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.777998, 'lng': 106.634631}}"
CÔNG TY TNHH TRẦN PHẠM GIA,"214 Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, TP.HCM","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'Phạm Ngũ Lão', 'route': 'Bùi Viện', 'administrative_area_level_2': 'Quận 1', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.766367, 'lng': 106.691429}}"
CÔNG TY CỔ PHẦN VINAFOR SÀI GÒN,"64 Trương Định, Quận 3, Thành Phố Hồ Chí MInh","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'phường 7', 'route': 'Trương Định', 'administrative_area_level_2': 'Quận 3', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.782118, 'lng': 106.68452}}"
CÔNG TY TNHH CAO SU MINH TÂN,"Số 25 Tống Văn Trân, Phường 5, Quận11, TP. Hồ Chí Minh, Vietnam.","{'locality': 'Ho Chi Minh City', 'sublocality_level_1': 'phường 5', 'route': 'Tống Văn Trân', 'administrative_area_level_2': 'Quận 11', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.77044, 'lng': 106.643238}}"
CÔNG TY TNHH H.2.O BAMBU DECOR,"21 đường Thảo Điền, Phường Thảo Điền, quận 2, Tp Hồ Chí Minh","{'locality': '2', 'sublocality_level_1': 'Thảo Điền', 'route': 'Thảo Điền', 'administrative_area_level_2': 'Quận 2', 'administrative_area_level_1': 'Hồ Chí Minh', 'country': 'Vietnam', 'location': {'lat': 10.8033618, 'lng': 106.7376709}}"
